,artist,related
0,King Krule,Connan Mockasin
1,King Krule,Archy Marshall
2,King Krule,Part Time
3,King Krule,Ariel Pink
4,King Krule,Mount Kimbie
5,King Krule,Blood Orange
6,King Krule,HOMESHAKE
7,King Krule,John Maus
8,King Krule,Shabazz Palaces
9,King Krule,Toro y Moi
10,King Krule,Deerhunter
11,King Krule,Cosmo Pyke
12,King Krule,Yves Tumor
13,King Krule,DIIV
14,King Krule,Vegyn
15,King Krule,Melody's Echo Chamber
16,King Krule,Oneohtrix Point Never
17,King Krule,Alex G
18,King Krule,Unknown Mortal Orchestra
19,King Krule,Puma Blue
20,The Strokes,"Albert Hammond, Jr."
21,The Strokes,Julian Casablancas
22,The Strokes,Franz Ferdinand
23,The Strokes,The Last Shadow Puppets
24,The Strokes,Interpol
25,The Strokes,The Libertines
26,The Strokes,The Hives
27,The Strokes,MGMT
28,The Strokes,The Fratellis
29,The Strokes,Kasabian
30,The Strokes,The Raconteurs
31,The Strokes,Bloc Party
32,The Strokes,Alex Turner
33,The Strokes,The Vines
34,The Strokes,The Kooks
35,The Strokes,Arcade Fire
36,The Strokes,Cage The Elephant
37,The Strokes,The Vaccines
38,The Strokes,Phoenix
39,The Strokes,Yeah Yeah Yeahs
40,Puma Blue,infinite bisous
41,Puma Blue,TheSecondSex
42,Puma Blue,Jerkcurb
43,Puma Blue,Jasper Bones
44,Puma Blue,Strawberry Guy
45,Puma Blue,TEMPOREX
46,Puma Blue,Jakob Ogawa
47,Puma Blue,Black Pool
48,Puma Blue,Satchy
49,Puma Blue,HOMESHAKE
50,Puma Blue,Sunset Rollercoaster
51,Puma Blue,Gus Dapperton
52,Puma Blue,Feng Suave
53,Puma Blue,RICEWINE
54,Puma Blue,Brad stank
55,Puma Blue,Crumb
56,Puma Blue,Loving
57,Puma Blue,Brahny
58,Puma Blue,Banes World
59,Puma Blue,Yung Heazy
60,Radiohead,Thom Yorke
61,Radiohead,Blur
62,Radiohead,Pixies
63,Radiohead,Interpol
64,Radiohead,Portishead
